"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"認証されていない状態で保護されたページにアクセスすると適切にリダイレクトされることを検証します","447","未ログイン状態でマイページにアクセスするとリダイレクトされる","chromium","Thu Mar 27 13:00:45 UTC 2025","passed","Thu Mar 27 13:00:45 UTC 2025","","login.spec.ts","",""
"ログイン入力テスト: 空のメールアドレス","910","ログイン - 空のメールアドレス","chromium","Thu Mar 27 13:00:36 UTC 2025","passed","Thu Mar 27 13:00:37 UTC 2025","","login-boundary.spec.ts","",""
"プラン選択から予約フォーム入力、確認、モーダル完了までのE2Eテスト","2610","宿泊予約の一連フローが完了する","","Tue Mar 25 08:37:43 UTC 2025","passed","Tue Mar 25 08:37:45 UTC 2025","","reservation.spec.ts","",""
"プラン選択から予約入力、確認、完了までの一連のE2Eフロー検証","2273","宿泊予約の一連フローが正常に完了すること","","Thu Mar 27 01:30:18 UTC 2025","passed","Thu Mar 27 01:30:21 UTC 2025","","reservation.spec.ts","",""
"ログイン入力テスト: 特殊文字を含むパスワード（XSSパターン）","1028","ログイン - 特殊文字を含むパスワード（XSSパターン）","firefox","Thu Mar 27 13:01:22 UTC 2025","passed","Thu Mar 27 13:01:23 UTC 2025","","login-boundary.spec.ts","",""
"ナビゲーションから各ページに遷移できること","2021","ナビゲーションメニューで各ページに遷移できる","","Thu Mar 27 01:33:58 UTC 2025","passed","Thu Mar 27 01:34:00 UTC 2025","","index.spec.ts","",""
"認証されていない状態で /mypage にアクセスすると /index にリダイレクトされる","1433","未ログイン状態でマイページにアクセスするとリダイレクトされる","","Thu Mar 27 01:34:59 UTC 2025","passed","Thu Mar 27 01:35:00 UTC 2025","","login.spec.ts","",""
"登録済みユーザーが正しいメールアドレスとパスワードでログインできることを検証します","1422","正しい認証情報でログインできる","chromium","Thu Mar 27 13:00:43 UTC 2025","passed","Thu Mar 27 13:00:44 UTC 2025","","login.spec.ts","",""
"ログイン入力テスト: 無効な形式のメールアドレス","878","ログイン - 無効な形式のメールアドレス","chromium","Thu Mar 27 13:00:37 UTC 2025","passed","Thu Mar 27 13:00:38 UTC 2025","","login-boundary.spec.ts","",""
"ログイン入力テスト: 誤ったパスワード","861","ログイン - 誤ったパスワード","chromium","Thu Mar 27 13:00:40 UTC 2025","passed","Thu Mar 27 13:00:41 UTC 2025","","login-boundary.spec.ts","",""
